name,url,strPrice,strRate,price,sendfee,rateCount,ratePeople,quantity,unit
《期間限定★10%OFF》 ひとめぼれ 米 10kg 送料無料 岩手県産 令和2年産 《10kg（5kg × 2袋）》 白米 お米 10kg 米10kg 米10キロ 10キロ 岩手県 ひとめぼれ 国内産米 精米 単一原料米 検査米,https://item.rakuten.co.jp/ricey-miyagi/hitome_iwate_10k/,"3,960円 送料無料 ",4.63(49件),"3,960",0,4.63,49,10,kg
【スーパーSALE 10％OFF】　お米　10kg　送料無料　オリジナルブレンド米　日本の味　10kg1袋　複数原料米　(離島・沖縄発送不可）,https://item.rakuten.co.jp/ajiwainoasa/blend_10_ss/,"2,950円 送料無料 ",None,"2,950",0,,,10,kg
【スーパーSALE 10％OFF】　お米　10kg　送料無料　オリジナルブレンド米　日本の味　5kg2袋　複数原料米　（離島・沖縄発送不可）,https://item.rakuten.co.jp/ajiwainoasa/blend_5_2_ss/,"3,000円 送料無料 ",None,"3,000",0,,,10,kg
期間限定10%off 【送料無料】【当日精米】令和2年度産 山形県産 お米はえぬき 玄米 30kg(30kg×1袋)【白米・無洗米・分づき】,https://item.rakuten.co.jp/agripartner/haenuki-30-1/,"9,882円 送料無料 ",4.69(72件),"9,882",0,4.69,72,30,kg
期間限定10%off 【送料無料】【当日精米】令和2年度産 山形県産 お米はえぬき 玄米 30kg(10kg×3袋)【白米・無洗米・分づき】,https://item.rakuten.co.jp/agripartner/haenuki-30/,"10,350円 送料無料 ",4.77(113件),"10,350",0,4.77,113,30,kg
期間限定10%off 【送料無料】【当日精米】令和2年度産 山形県産 お米はえぬき 玄米 20kg(10kg袋×2)【白米・無洗米・分づき】,https://item.rakuten.co.jp/agripartner/haenuki-20/,"7,092円 送料無料 ",4.8(40件),"7,092",0,4.8,40,20,kg
《期間限定★10%OFF》 ひとめぼれ 米 5kg 送料無料 岩手県産 令和2年産 《5kg》 白米 お米 5kg 米5kg 米5キロ 5キロ 岩手県 ひとめぼれ 国内産米 精米 単一原料米 検査米 ブランド米,https://item.rakuten.co.jp/ricey-miyagi/hitome_iwate_5k/,"2,430円 送料無料 ",5(4件),"2,430",0,5,4,5,kg
【スーパーSALE 10％OFF】　お米　30kg　送料無料　オリジナルブレンド米　日本の味　10kg3袋　複数原料米　（離島・沖縄発送不可）,https://item.rakuten.co.jp/ajiwainoasa/blend_10_3_ss/,"8,060円 送料無料 ",None,"8,060",0,,,30,kg
《期間限定★10%OFF》 ひとめぼれ 米 20kg 宮城・栗原の阿部さんたちがつくったひとめぼれ 送料無料 産地直送 令和2年産 《20kg（5kg × 4袋）》 白米 お米 20kg 米20kg 米20キロ 精米 検査米 ブランド米,https://item.rakuten.co.jp/ricey-miyagi/hitome_abe_20k/,"7,830円 送料無料 ",5(4件),"7,830",0,5,4,20,kg
《期間限定★10%OFF》 ひとめぼれ 米 10kg 宮城・栗原の阿部さんたちがつくったひとめぼれ 送料無料 産地直送 令和2年産 《10kg（5kg × 2袋）》 白米 お米 10kg 米10kg 米10キロ 精米 検査米 ブランド米,https://item.rakuten.co.jp/ricey-miyagi/hitome_abe_10k/,"4,230円 送料無料 ",4.64(14件),"4,230",0,4.64,14,10,kg
